Application_ID,Application_Date,Age,Gender,Marital_Status,Education,Employment_Type,Employment_Years,State,City_Tier,Branch_Type,Annual_Income,Monthly_Income,Existing_Debt,Existing_Loans,Credit_Card_Balance,Bank_Balance,Credit_Score,Risk_Category,Loan_Purpose,Loan_Amount,Loan_Term_Months,Interest_Rate,Estimated_EMI,Debt_to_Income_Pct,Documentation_Status,Verification_Status,Application_Channel,Approval_Status,Approval_Date,Disbursement_Status,Disbursement_Date,Disbursed_Amount,Default_Status,Days_Past_Due,Recovery_Amount,Approval_Flag,Default_Flag,Disbursement_Flag,Income_Band,Credit_Score_Band,Loan_Amount_Band
BL100000,2025-05-10,32,Male,Married,High School,Self-Employed,5.5,Maharashtra,Tier 2,Urban,419200,34933,110900,1,659300,260400,300,Very High,Personal,710000,60,13.12,16198,72.83,Complete,Verified,Mobile App,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,,500k-1M
BL100001,2025-12-31,34,Male,Married,Graduate,Business Owner,9.6,West Bengal,Tier 2,Urban,767000,63917,389800,1,95100,90600,743,Low,Business,1327000,36,5.5,40070,113.51,Complete,Failed,Mobile App,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Very Good (740-799),1M-1.5M
BL100002,2025-11-10,41,Male,Married,Diploma,Self-Employed,10.0,Rajasthan,Tier 2,Urban,1066100,88842,370600,0,208700,175300,535,Very High,Business,1365000,36,9.66,43827,84.09,Complete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,1M-1.5M,Poor (300-579),1M-1.5M
BL100003,2023-05-02,43,Male,Married,Graduate,Salaried,10.5,Delhi,Tier 1,Rural,349300,29108,37000,2,24200,306400,613,High,Home,527000,36,7.42,16374,66.84,Complete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Fair (580-669),500k-1M
BL100004,2024-04-11,25,Male,Married,Diploma,Salaried,6.3,Gujarat,Tier 2,Urban,441000,36750,39300,1,25300,43500,551,Very High,Medical,152000,72,9.27,2760,16.42,Complete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),< 250k
BL100005,2023-11-27,41,Male,Single,Graduate,Salaried,3.8,Maharashtra,Tier 2,Urban,480400,40033,55700,1,106300,393100,542,Very High,Vehicle,611000,60,9.9,12952,43.95,Complete,Verified,Agent,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),500k-1M
BL100006,2023-03-29,66,Male,Married,Diploma,Salaried,3.5,Maharashtra,Tier 1,Urban,360000,30000,39800,2,52000,78100,533,Very High,Personal,558000,60,11.21,12191,51.69,Complete,Pending,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),500k-1M
BL100007,2025-05-21,52,Male,Married,Diploma,Business Owner,3.5,Telangana,Tier 3,Rural,245800,20483,0,1,113600,99100,572,Very High,Education,135000,48,9.21,3373,16.47,Complete,Verified,Agent,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,< 300k,Poor (300-579),< 250k
BL100008,2023-05-11,32,Female,Married,Graduate,Contract,3.3,Telangana,Tier 2,Semi-Urban,564900,47075,211000,2,14100,255800,565,Very High,Debt Consolidation,857000,36,8.45,27034,94.78,Complete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),500k-1M
BL100009,2025-02-08,39,Male,Single,High School,Salaried,16.5,Tamil Nadu,Tier 2,Semi-Urban,520000,43333,132700,1,10900,97800,524,Very High,Home,365000,24,10.09,16858,64.42,Complete,Verified,Mobile App,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),250k-500k
BL100010,2023-12-10,38,Male,Married,Post Graduate,Contract,4.6,Telangana,Tier 1,Rural,611200,50933,176700,0,30900,283400,636,High,Home,460000,60,8.3,9393,47.35,Complete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Fair (580-669),250k-500k
BL100011,2025-03-16,42,Female,Married,Graduate,Self-Employed,18.0,Tamil Nadu,Tier 1,Urban,402300,33525,0,3,57600,39200,602,High,Education,670000,36,8.36,21107,62.96,Complete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Fair (580-669),500k-1M
BL100012,2024-01-21,34,Male,Married,Post Graduate,Salaried,6.2,Kerala,Tier 1,Urban,560000,46667,96100,2,124600,149100,584,High,Home,869000,24,8.6,39541,101.89,Incomplete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Fair (580-669),500k-1M
BL100013,2025-08-13,36,Male,Single,High School,Self-Employed,4.2,Telangana,Tier 2,Urban,2138000,178167,32400,0,13200,125000,618,High,Personal,2599000,72,7.21,44573,26.53,Complete,Verified,Mobile App,Approved,2025-08-25,Disbursed,2025-09-01,2599000,Current,15,0,1,0,1,> 1.5M,Fair (580-669),> 1.5M
BL100014,2023-10-04,31,Male,Married,High School,Business Owner,3.4,Karnataka,Tier 2,Urban,796600,66383,106100,0,41500,164500,601,High,Home,367000,24,7.76,16558,38.26,Complete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Fair (580-669),250k-500k
BL100015,2024-04-04,48,Female,Married,Graduate,Business Owner,3.9,Telangana,Tier 2,Rural,330600,27550,56400,1,62400,399400,554,Very High,Education,257000,36,7.22,7961,45.96,Incomplete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Poor (300-579),250k-500k
BL100016,2023-01-22,41,Male,Single,Graduate,Contract,5.8,Telangana,Tier 1,Semi-Urban,690800,57567,133200,1,105600,168700,624,High,Personal,772000,36,6.9,23802,60.63,Complete,Pending,Agent,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Fair (580-669),500k-1M
BL100017,2023-09-10,41,Male,Single,Diploma,Business Owner,5.6,Karnataka,Tier 2,Semi-Urban,1064900,88742,414200,1,61800,57200,660,High,Business,927000,60,7.68,18655,59.92,Complete,Verified,Agent,Approved,2023-09-20,Disbursed,2023-09-23,927000,Default,84,314700,1,1,1,1M-1.5M,Fair (580-669),500k-1M
BL100018,2025-01-17,49,Male,Single,Graduate,Business Owner,5.3,Maharashtra,Tier 2,Rural,228800,19067,52900,1,96900,348500,493,Very High,Education,180000,84,10.71,3055,39.14,Incomplete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,< 300k,Poor (300-579),< 250k
BL100019,2025-05-06,49,Male,Single,Graduate,Salaried,4.7,Kerala,Tier 2,Semi-Urban,1363300,113608,56300,1,7100,361900,588,High,Home,2220000,36,9.89,71519,67.08,Complete,Failed,Mobile App,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,1M-1.5M,Fair (580-669),> 1.5M
BL100020,2024-04-19,47,Male,Married,High School,Salaried,8.6,Tamil Nadu,Tier 3,Urban,631400,52617,109100,0,45400,491700,637,High,Business,872000,72,7.69,15157,46.09,Incomplete,Verified,Mobile App,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,600k-1M,Fair (580-669),500k-1M
BL100021,2025-12-18,49,Female,Married,Graduate,Salaried,2.4,Gujarat,Tier 1,Urban,595400,49617,43500,0,10000,46500,613,High,Vehicle,870000,24,7.26,39055,86.02,Complete,Verified,Branch,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,300k-600k,Fair (580-669),500k-1M
BL100022,2024-05-25,52,Male,Single,Post Graduate,Business Owner,3.4,Karnataka,Tier 3,Urban,1703800,141983,356000,1,19800,159200,547,Very High,Vehicle,2313000,84,9.92,38303,47.87,Complete,Verified,Website,Rejected,,Not Applicable,,0,Not Applicable,0,0,0,0,0,> 1.5M,Poor (300-579),> 1.5M
